2012-10-26 13:34:01,102 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:34:01,117 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-26 13:34:01,118 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-26 13:34:01,120 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-26 13:38:06,927 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:38:07,047 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-26 13:38:07,558 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:42:13,305 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=11801206@b41276 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:42:13,306 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:42:13,306 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:44:35,482 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:44:35,575 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-26 13:44:35,886 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
